label,class_name,character,official_b1,dominant_b1,confidence_%,mean_b0,mean_b1,verdict
0,character_1_ka,क,1,1,73.2,1.092,1.281,β₁ = 1  (73.2% of images agree)
1,character_2_kha,ख,-1,1,61.6,1.434,1.42,AMBIGUOUS — best guess β₁=1 but only 61.6% confident
2,character_3_ga,ग,0,0,95.9,1.23,0.044,β₁ = 0  (95.9% of images agree)
3,character_4_gha,घ,-1,1,64.4,1.228,0.902,AMBIGUOUS — best guess β₁=1 but only 64.4% confident
4,character_5_kna,ङ,0,0,71.0,2.08,0.362,β₁ = 0  (71.0% of images agree)
5,character_6_cha,च,0,0,90.5,1.288,0.115,β₁ = 0  (90.5% of images agree)
6,character_7_chha,छ,-1,0,50.8,1.179,0.693,AMBIGUOUS — best guess β₁=0 but only 50.8% confident
7,character_8_ja,ज,0,0,95.0,1.281,0.056,β₁ = 0  (95.0% of images agree)
8,character_9_jha,झ,-1,1,37.0,1.291,1.54,AMBIGUOUS — best guess β₁=1 but only 37.0% confident
9,character_10_yna,ञ,0,0,95.2,1.17,0.053,β₁ = 0  (95.2% of images agree)
10,character_11_taamatar,ट,0,0,97.6,1.206,0.024,β₁ = 0  (97.6% of images agree)
11,character_12_thaa,ठ,1,1,90.0,1.288,1.03,β₁ = 1  (90.0% of images agree)
12,character_13_daa,ड,0,0,88.6,1.276,0.13,β₁ = 0  (88.6% of images agree)
13,character_14_dhaa,ढ,1,1,79.8,1.514,0.934,β₁ = 1  (79.8% of images agree)
14,character_15_adna,ण,-1,1,64.9,1.39,0.679,AMBIGUOUS — best guess β₁=1 but only 64.9% confident
15,character_16_tabala,त,0,0,94.5,1.15,0.063,β₁ = 0  (94.5% of images agree)
16,character_17_tha,थ,-1,1,58.0,1.452,1.272,AMBIGUOUS — best guess β₁=1 but only 58.0% confident
17,character_18_da,द,-1,0,55.2,1.366,0.53,AMBIGUOUS — best guess β₁=0 but only 55.2% confident
18,character_19_dha,ध,-1,1,55.4,1.192,1.152,AMBIGUOUS — best guess β₁=1 but only 55.4% confident
19,character_20_na,न,1,1,82.2,1.251,0.954,β₁ = 1  (82.2% of images agree)
20,character_21_pa,प,1,1,71.7,1.221,0.756,β₁ = 1  (71.7% of images agree)
21,character_22_pha,फ,-1,1,69.5,1.35,0.814,AMBIGUOUS — best guess β₁=1 but only 69.5% confident
22,character_23_ba,ब,-1,2,54.3,1.272,1.96,AMBIGUOUS — best guess β₁=2 but only 54.3% confident
23,character_24_bha,भ,-1,2,47.0,1.249,1.758,AMBIGUOUS — best guess β₁=2 but only 47.0% confident
24,character_25_ma,म,-1,2,66.8,1.266,1.732,AMBIGUOUS — best guess β₁=2 but only 66.8% confident
25,character_26_yaw,य,-1,1,56.8,1.548,0.73,AMBIGUOUS — best guess β₁=1 but only 56.8% confident
26,character_27_ra,र,-1,0,63.2,1.271,0.407,AMBIGUOUS — best guess β₁=0 but only 63.2% confident
27,character_28_la,ल,0,0,84.5,1.827,0.174,β₁ = 0  (84.5% of images agree)
28,character_29_waw,व,-1,1,69.9,1.383,1.134,AMBIGUOUS — best guess β₁=1 but only 69.9% confident
29,character_30_motosaw,श,-1,1,33.0,1.911,1.461,AMBIGUOUS — best guess β₁=1 but only 33.0% confident
30,character_31_petchiryakha,ष,-1,2,68.5,1.26,1.834,AMBIGUOUS — best guess β₁=2 but only 68.5% confident
31,character_32_patalosaw,स,-1,1,53.5,1.488,1.2,AMBIGUOUS — best guess β₁=1 but only 53.5% confident
32,character_33_ha,ह,-1,0,66.8,1.751,0.42,AMBIGUOUS — best guess β₁=0 but only 66.8% confident
33,character_34_chhya,क्ष,-1,1,40.0,1.665,1.64,AMBIGUOUS — best guess β₁=1 but only 40.0% confident
34,character_35_tra,त्र,0,0,86.1,1.486,0.158,β₁ = 0  (86.1% of images agree)
35,character_36_gya,ज्ञ,-1,1,64.4,1.292,0.878,AMBIGUOUS — best guess β₁=1 but only 64.4% confident
36,digit_0,०,-1,1,56.1,2.524,0.721,AMBIGUOUS — best guess β₁=1 but only 56.1% confident
37,digit_1,१,1,1,84.7,1.046,0.912,β₁ = 1  (84.7% of images agree)
38,digit_2,२,-1,0,51.8,1.06,0.643,AMBIGUOUS — best guess β₁=0 but only 51.8% confident
39,digit_3,३,-1,1,47.1,1.133,0.704,AMBIGUOUS — best guess β₁=1 but only 47.1% confident
40,digit_4,४,1,1,90.5,1.164,0.977,β₁ = 1  (90.5% of images agree)
41,digit_5,५,-1,1,68.5,1.368,0.872,AMBIGUOUS — best guess β₁=1 but only 68.5% confident
42,digit_6,६,-1,0,69.2,1.463,0.398,AMBIGUOUS — best guess β₁=0 but only 69.2% confident
43,digit_7,७,1,1,89.1,1.146,0.944,β₁ = 1  (89.1% of images agree)
44,digit_8,८,0,0,96.8,1.577,0.034,β₁ = 0  (96.8% of images agree)
45,digit_9,९,1,1,71.2,1.041,1.022,β₁ = 1  (71.2% of images agree)
